epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1679.51,0.42603,0.27119,0.83296,0.9333,0.93825,0.95312,0.84354,0.52296,0.33466,0.82686,0.000272375,0.000272375,0.000272375
81,1700.27,0.42315,0.26624,0.83449,0.9274,0.93777,0.95552,0.8435,0.52588,0.34049,0.82718,0.00026,0.00026,0.00026
82,1721.12,0.41716,0.26395,0.83097,0.92018,0.94244,0.9583,0.85132,0.52806,0.33733,0.82874,0.000247625,0.000247625,0.000247625
83,1742.15,0.41588,0.26344,0.82792,0.9324,0.93856,0.95597,0.8461,0.52848,0.33721,0.82878,0.00023525,0.00023525,0.00023525
84,1762.96,0.41469,0.26513,0.83258,0.92664,0.94125,0.95241,0.84408,0.52976,0.33331,0.82991,0.000222875,0.000222875,0.000222875
85,1783.99,0.41407,0.26061,0.82821,0.92979,0.93756,0.95276,0.84113,0.52758,0.33806,0.83018,0.0002105,0.0002105,0.0002105
86,1804.62,0.41165,0.26155,0.83081,0.93366,0.93668,0.95489,0.84886,0.52857,0.33379,0.82912,0.000198125,0.000198125,0.000198125
87,1825.87,0.40455,0.25774,0.82617,0.92873,0.93532,0.95273,0.84752,0.53,0.34229,0.83072,0.00018575,0.00018575,0.00018575
88,1846.69,0.40488,0.25675,0.8289,0.93545,0.937,0.94798,0.83647,0.528,0.34386,0.83105,0.000173375,0.000173375,0.000173375
89,1867.73,0.40247,0.25396,0.82477,0.94919,0.92485,0.957,0.85243,0.52283,0.34314,0.82931,0.000161,0.000161,0.000161
90,1888.54,0.40103,0.25355,0.82634,0.94206,0.92995,0.95558,0.84817,0.52296,0.33025,0.83095,0.000148625,0.000148625,0.000148625
91,1949.72,0.37756,0.22307,0.79749,0.92744,0.9336,0.95565,0.84321,0.53038,0.3448,0.82919,0.00013625,0.00013625,0.00013625
92,1970.49,0.37288,0.21839,0.79379,0.93185,0.92987,0.95563,0.84734,0.52543,0.3367,0.83046,0.000123875,0.000123875,0.000123875
93,1991.49,0.36253,0.21584,0.79368,0.93726,0.93124,0.95515,0.84374,0.53031,0.34779,0.83075,0.0001115,0.0001115,0.0001115
94,2012.23,0.35918,0.21196,0.79041,0.94281,0.92349,0.95611,0.85187,0.52864,0.3456,0.83209,9.9125e-05,9.9125e-05,9.9125e-05
95,2032.57,0.35806,0.21502,0.79583,0.94983,0.91882,0.95616,0.84937,0.52796,0.34145,0.83117,8.675e-05,8.675e-05,8.675e-05
96,2053.68,0.35366,0.20954,0.79284,0.94593,0.9255,0.95327,0.85124,0.52274,0.33761,0.83093,7.4375e-05,7.4375e-05,7.4375e-05
97,2074.53,0.35086,0.20706,0.7883,0.94287,0.92565,0.95469,0.8539,0.52103,0.3407,0.83017,6.2e-05,6.2e-05,6.2e-05
98,2095.26,0.35043,0.20658,0.79194,0.93995,0.92686,0.95547,0.85288,0.52004,0.33501,0.82791,4.9625e-05,4.9625e-05,4.9625e-05
99,2115.94,0.3468,0.20446,0.78857,0.93364,0.92673,0.95516,0.85303,0.52245,0.34396,0.83029,3.725e-05,3.725e-05,3.725e-05
100,2136.6,0.3473,0.20475,0.78648,0.94741,0.91508,0.95531,0.85286,0.52081,0.34517,0.82959,2.4875e-05,2.4875e-05,2.4875e-05
